filename,title,url,entity,date_collected,document_type,notes
417655209.pdf,Instituto Politécnico de Coimbra (IPC) — procedimento 417655209,https://files.diariodarepublica.pt/cp_hora/2024/05/087/417655209.pdf,Instituto Politécnico de Coimbra (IPC),2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418100579.pdf,Municipio de Vila Viçosa — procedimento 418100579,https://files.diariodarepublica.pt/cp_hora/2024/09/175/418100579.pdf,Municipio de Vila Viçosa,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418302617.pdf,"Município do Barreiro — Constituição de direito de superfície, financiamento, conceção, projeto, construção, conservação, manutenção e arrendamento de Empreendimento Habitacional de Custos Controlados",https://files.diariodarepublica.pt/cp_hora/2024/11/213/418302617.pdf,Município do Barreiro,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418308903.pdf,Município de Tomar — Empreitada de Conceção-Construção de um edifício para habitação a edificar em Marmelais,https://files.diariodarepublica.pt/cp_hora/2024/11/216/418308903.pdf,Município de Tomar,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418345475.pdf,"Gestão e Obras do Porto, E.M. — Rua Direita - Requalificação da Rua do Monte de Ramalde e Outras Empreitada",https://files.diariodarepublica.pt/cp_hora/2024/11/220/418345475.pdf,"Gestão e Obras do Porto, E.M.",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418476809.pdf,Autoridade para as Condições do Trabalho — Aquisição de Serviços Externos de Saúde no Trabalho para um Período de 36 (trinta e seis) Meses,https://files.diariodarepublica.pt/cp_hora/2024/12/246/418476809.pdf,Autoridade para as Condições do Trabalho,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418506179.pdf,"CP COMBOIOS DE PORTUGAL, EPE — Empreitada de Construção Civil para implementação de medidas de eficiência energética do Edifico Central de Contumil",https://files.diariodarepublica.pt/cp_hora/2024/12/250/418506179.pdf,"CP COMBOIOS DE PORTUGAL, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418715491.pdf,"Fundação Casa da Música — Concurso público com publicação de anúncio no JOUE, para locação de bens e aquisição de serviços de operação técnica e técnico-artística para suporte à atividade da Casa da Música",https://files.diariodarepublica.pt/cp_hora/2025/02/037/418715491.pdf,Fundação Casa da Música,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
418824622.pdf,"Construção Pública, E.P.E. — PE_25010_CNE-Concurso Público Nacional para a empreitada de estabilização do talude de suporte do muro de vedação da Escola Básica Francisco de Arruda, em Lisboa",https://files.diariodarepublica.pt/cp_hora/2025/03/054/418824622.pdf,"Construção Pública, E.P.E.",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419447229.pdf,"Gestão e Obras do Porto, E.M. — CS Unidade Cerco - Reabilitação - empreitada",https://files.diariodarepublica.pt/cp_hora/2025/08/158/419447229.pdf,"Gestão e Obras do Porto, E.M.",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419550917.pdf,Município de Chaves — Aquisição de Serviços na Área dos Seguros,https://files.diariodarepublica.pt/cp_hora/2025/09/182/419550917.pdf,Município de Chaves,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419556506.pdf,"Teatro Nacional São João, E.P.E. — Empreitada de Requalificação das Coberturas do Mosteiro de S. Bento da Vitória e Outros Trabalhos",https://files.diariodarepublica.pt/cp_hora/2025/09/181/419556506.pdf,"Teatro Nacional São João, E.P.E.",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419563359.pdf,CÂMARA MUNICIPAL DE ALMADA — CICLOVIA: RUA PARQUE DE CAMPISMO DE ALMADA – COSTA DA CAPARICA.,https://files.diariodarepublica.pt/cp_hora/2025/09/184/419563359.pdf,CÂMARA MUNICIPAL DE ALMADA,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419796559.pdf,"APIN - Empresa Intermunicipal de Ambiente do Pinhal Interior, E. I. M., S. A. — Reabilitação de 10 ETARs",https://files.diariodarepublica.pt/cp_hora/2025/11/225/419796559.pdf,"APIN - Empresa Intermunicipal de Ambiente do Pinhal Interior, E. I. M., S. A.",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419814734.pdf,"Instituto da Segurança Social, IP — Centro Distrital de Viseu Obras de reabilitação da cobertura e espaços interiores, rede de águas, deteção de incêndios, de 4 variadores de frequência e de 144 ventiloconvetores do sistema AVAC",https://files.diariodarepublica.pt/cp_hora/2025/11/228/419814734.pdf,"Instituto da Segurança Social, IP",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419827581.pdf,Freguesia de Mina de Água — Procedimento N.º 70/2025 de Concurso Público Prestação de serviços de seguros,https://files.diariodarepublica.pt/cp_hora/2025/11/231/419827581.pdf,Freguesia de Mina de Água,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419856336.pdf,"Serviços Municipalizados de Água e Saneamento de Sintra — Concurso Público Urgente n.º 51PF/2025 - Prestação de serviços de recolha de resíduos urbanos por Lotes, pelo período de 40 dias",https://files.diariodarepublica.pt/cp_hora/2025/12/235/419856336.pdf,Serviços Municipalizados de Água e Saneamento de Sintra,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419863148.pdf,Polícia de Segurança Pública — Aq. Alimentação p/ canídeos do GOC PSP (2026-28),https://files.diariodarepublica.pt/cp_hora/2025/12/240/419863148.pdf,Polícia de Segurança Pública,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419881762.pdf,Sociedade de defesa e Propaganda de Avô — Requalificação da Estrutura Residencial para Pessoas Idosas (ERPI) - Lar Nossa Senhora da Assunção,https://files.diariodarepublica.pt/cp_hora/2025/12/240/419881762.pdf,Sociedade de defesa e Propaganda de Avô,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419882459.pdf,"Unidade Local de Saúde do Baixo Mondego, EPE — Componentes ortopédicos com colocação de equipamento (navegador)",https://files.diariodarepublica.pt/cp_hora/2025/12/242/419882459.pdf,"Unidade Local de Saúde do Baixo Mondego, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419933318.pdf,"Unidade Local de Saúde do Alentejo Central, EPE — Prestação de Serviços Médicos de Anestesiologia",https://files.diariodarepublica.pt/cp_hora/2025/12/251/419933318.pdf,"Unidade Local de Saúde do Alentejo Central, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419952798.pdf,"Município de Arcos de Valdevez — PO 604/2026 - Manutenção corretiva das coberturas da escola EB 2,3/S de Arcos de Valdevez - Bloco 2",https://files.diariodarepublica.pt/cp_hora/2026/03/043/419952798.pdf,Município de Arcos de Valdevez,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419953526.pdf,Município de Arcos de Valdevez — PF 1181/2026 - Equipamento Informático RADAR SOCIAL e HARDWARE,https://files.diariodarepublica.pt/cp_hora/2026/03/048/419953526.pdf,Município de Arcos de Valdevez,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419953713.pdf,Município de Amares — Prestação de serviços de manutenção do relvado do Estádio Eng.º José Carlos Macedo,https://files.diariodarepublica.pt/cp_hora/2026/03/048/419953713.pdf,Município de Amares,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419954080.pdf,Município de Amares — FORB-2026-DGSEMAF-31 Aquisição de Viaturas de Mercadoria - Serviços Externos Município de Amares,https://files.diariodarepublica.pt/cp_hora/2026/03/050/419954080.pdf,Município de Amares,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419954348.pdf,Município de Amares — Remodelação dos Centros Escolares Amares - C.E de Vale do Homem.,https://files.diariodarepublica.pt/cp_hora/2026/03/052/419954348.pdf,Município de Amares,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419954697.pdf,Município de Amares — FORB-2026-DGSEMAF-37 Fornecimento de Contadores para Abastecimento de Água Potável,https://files.diariodarepublica.pt/cp_hora/2026/03/054/419954697.pdf,Município de Amares,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419954740.pdf,"Unidade Local de Saúde de Braga, EPE — Fornecimento e instalação e PET/CT e SPECT/CT",https://files.diariodarepublica.pt/cp_hora/2026/03/057/419954740.pdf,"Unidade Local de Saúde de Braga, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419955359.pdf,"Unidade Local de Saúde de Braga, EPE — Aquisição de equipamento de medição de fluxos sanguíneos em Cirurgia Cardíaca",https://files.diariodarepublica.pt/cp_hora/2026/03/058/419955359.pdf,"Unidade Local de Saúde de Braga, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419955720.pdf,Município de Viana do Castelo — Aquisição de Serviços de Programas de Rádio em Meio de Comunicação Social de Viana do Castelo para 2026,https://files.diariodarepublica.pt/cp_hora/2026/03/060/419955720.pdf,Município de Viana do Castelo,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419955927.pdf,Universidade do Minho — procedimento 419955927,https://files.diariodarepublica.pt/cp_hora/2026/03/062/419955927.pdf,Universidade do Minho,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419956306.pdf,Município de Braga — EDIFÍCIO DA CÂMARA MUNICIPAL DE BRAGA – REMODELAÇÃO DE INSTALAÇÕES SANITÁRIAS,https://files.diariodarepublica.pt/cp_hora/2026/04/065/419956306.pdf,Município de Braga,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419956482.pdf,Município de Arcos de Valdevez — PF 1191/2026 - Aquisição de serviço de recrutamento e seleção de recursos humanos (Técnico superior de higiene e segurança) para a Divisão de Ambiente e Serviços de Gestão,https://files.diariodarepublica.pt/cp_hora/2026/04/065/419956482.pdf,Município de Arcos de Valdevez,2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419956515.pdf,"Unidade Local de Saúde do Alto Minho, EPE — Aquisição de 1 (um) Nefroscópio - Urologia ULSAM",https://files.diariodarepublica.pt/cp_hora/2026/04/065/419956515.pdf,"Unidade Local de Saúde do Alto Minho, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
419956523.pdf,"Unidade Local de Saúde do Alto Minho, EPE — Aquisição de Equipamentos para o Laboratório de Saúde Ambiental",https://files.diariodarepublica.pt/cp_hora/2026/04/065/419956523.pdf,"Unidade Local de Saúde do Alto Minho, EPE",2026-04-06,Contratos Públicos (Anúncio de procedimento),"Documento Parte L | Contratos Públicos, adequado para perguntas sobre objeto, preço base, prazo, requisitos, caução, CPV, lotes, local e entidade adjudicante."
